"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred20-21_R1","phred48-49_R1","phred76-77_R1","phred100-101_R1","phredGT30_R1","phredGT35_R1","Adapter50-51_R1","Adapter70-71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20-21_R2","phred48-49_R2","phred76-77_R2","phred100-101_R2","phredGT30_R2","phredGT35_R2","Adapter50-51_R2","Adapter70-71_R2","Adapter90_R2","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate"
"R13896_H7JKMBBXX","R13896_H7JKMBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0655692898054151,0.203478055505731,0.828557815822379,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.0770981211063572,0.221582861626685,0.834020125053668,"./R13896_H7JKMBBXX_accepted_hits.sorted.bam",FALSE,106584958,99089320,7495638,0.9297,0.8862,160944960,2750646,0.0168034198792117,0.256746179658517,21573488,0,0,0,0,0,0,0,43753848,0,0,14465278,0,4233906,4.35719991129853e-06
"R13903_HCTYLBBXX","R13903_HCTYLBBXX","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.148000455814674,1.78397090271748,8.46985225179779,"101","49","41.0","41.0","41.0","39.0",NA,NA,0.146903830553756,1.74664839434692,8.25817824678109,"./R13903_HCTYLBBXX_accepted_hits.sorted.bam",FALSE,134229992,111665224,22564768,0.8319,0.778,139882024,2825252,0.0197975329583055,0.379944719249245,27896691,0,0,0,0,0,0,0,23142526,0,0,16347297,0,6036512,1.72063417844073e-06
"R13904_H7K5NBBXX","R13904_H7K5NBBXX","PASS","FAIL","FAIL","PASS","FAIL/WARN","FAIL","FAIL","PASS","PASS/WARN","WARN","PASS","NA","101","51","41.0","32.0","41.0","36.5",NA,NA,0.0374211311860307,0.136403109216277,0.749735416698779,"101","52","41.0","41.0","34.5","34.5",NA,NA,0.0378472990558079,0.1230743417029,0.51350452502105,"./R13904_H7K5NBBXX_accepted_hits.sorted.bam",FALSE,61243472,40741780,20501692,0.6652,0.5198,54288854,1326211,0.0238462546074521,0.371944014456294,12380935,0,0,0,0,0,0,0,13059390,0,0,4073327,0,3773441,2.31000324288917e-05
"R13983_H7JKMBBXX","R13983_H7JKMBBXX","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0766332093163651,0.22370270266528,0.949268429119941,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0892666014042948,0.242024859702055,0.958945629613424,"./R13983_H7JKMBBXX_accepted_hits.sorted.bam",FALSE,144442600,134139823,10302777,0.9287,0.8839,196453977,3972690,0.0198211648153586,0.288360699875602,29704536,0,0,0,0,0,0,0,45549411,0,0,21412703,0,6345085,2.89518072256709e-06
"R13985_H7JM5BBXX","R13985_H7JM5BBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0473370904261877,0.185951971683855,0.963512916602644,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0586629740181358,0.204227238996021,0.974275026952257,"./R13985_H7JM5BBXX_accepted_hits.sorted.bam",FALSE,130903694,121295899,9607795,0.9266,0.8901,187601620,5307450,0.0275127032648076,0.276587796178894,27270855,0,0,0,0,0,0,0,48981261,0,0,14890196,0,7455151,8.39724313740805e-06
"R13986_H7JM5BBXX","R13986_H7JM5BBXX","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","52","41.0","41.0","41.0","41.0",NA,NA,0.0769457199532868,0.347522271301531,1.78423194471983,"101","53","41.0","41.0","41.0","41.0",NA,NA,0.0878038256239415,0.364820471341886,1.79329506952385,"./R13986_H7JM5BBXX_accepted_hits.sorted.bam",FALSE,114485900,105224001,9261899,0.9191,0.8828,172482565,5127721,0.0288706308372253,0.250509358179923,22725484,0,0,0,0,0,0,0,49956118,0,0,10231042,0,7804462,7.04055411977144e-07
"R13995_H7JHNBBXX","R13995_H7JHNBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0625341932599469,0.246194925591132,1.27605330179072,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0771721336651197,0.267810756299172,1.28341199269049,"./R13995_H7JHNBBXX_accepted_hits.sorted.bam",FALSE,115808642,108457837,7350805,0.9365,0.8944,142228377,3418715,0.0234725936031733,0.348872446684914,26129156,0,0,0,0,0,0,0,26387823,0,0,17815179,0,4563857,3.48269955600556e-06
"R13997_H7JHNBBXX","R13997_H7JHNBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","NA","101","45","41.0","41.0","41.0","41.0",NA,NA,0.0876770013761339,0.314251544544996,1.6626489955304,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.102664295857378,0.33570676008428,1.66910362997986,"./R13997_H7JHNBBXX_accepted_hits.sorted.bam",FALSE,150527502,140423826,10103676,0.9329,0.8883,166699082,2950162,0.0173897739267261,0.331537897807796,28904446,0,0,0,0,0,0,0,21032127,0,0,33559230,0,3687129,2.42177276118698e-06
"R14017_HF5JNBBXX","R14017_HF5JNBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","53","41.0","41.0","41.0","41.0",NA,NA,0.204460752588104,1.7984339716455,9.68119144208305,"101","53","41.0","41.0","41.0","41.0",NA,NA,0.20914727629488,1.77543704732338,9.53488532577538,"./R14017_HF5JNBBXX_accepted_hits.sorted.bam",FALSE,142301638,120204447,22097191,0.8447,0.7972,250361395,5456712,0.0213304369420574,0.138408226770101,18046999,0,0,0,0,0,0,0,90827428,0,0,18914728,0,2600486,0.00173657681257698
"R14023_H7JHNBBXX","R14023_H7JHNBBXX","PASS","PASS","WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0628913289883269,0.241784085362135,1.22639097255812,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0713311257429282,0.255116578230063,1.23511930937271,"./R14023_H7JHNBBXX_accepted_hits.sorted.bam",FALSE,144174088,136389468,7784620,0.946,0.9084,164980566,3705124,0.021964661021335,0.392097545014564,33951281,0,0,0,0,0,0,0,23919185,0,0,22785255,0,5933143,1.38433657333872e-06
