"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred20-21_R1","phred48-49_R1","phred76-77_R1","phred100-101_R1","phredGT30_R1","phredGT35_R1","Adapter50-51_R1","Adapter70-71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20-21_R2","phred48-49_R2","phred76-77_R2","phred100-101_R2","phredGT30_R2","phredGT35_R2","Adapter50-51_R2","Adapter70-71_R2","Adapter90_R2","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate"
"R14030_H7K5NBBXX","R14030_H7K5NBBXX","PASS","FAIL","FAIL","PASS","FAIL/WARN","FAIL/WARN","FAIL","PASS","PASS","WARN","PASS","NA","101","47","41.0","32.0","41.0","39.0",NA,NA,0.0344640300270646,0.138381049469861,0.81644819187218,"101","48","41.0","41.0","34.5","34.5",NA,NA,0.0327062073622241,0.121376100940048,0.552270583680354,"./R14030_H7K5NBBXX_accepted_hits.sorted.bam",FALSE,57912554,39241477,18671077,0.6776,0.5309,46618053,734257,0.0155062551330653,0.368049437343863,10384912,0,0,0,0,0,0,0,6998750,0,0,8919816,0,1912601,1.56958479763719e-05
"R14031_HF5JNBBXX","R14031_HF5JNBBXX","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0771759739660187,0.892404787325299,5.51328521943279,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0798225063978434,0.884121558487386,5.41823407687057,"./R14031_HF5JNBBXX_accepted_hits.sorted.bam",FALSE,158018090,140473651,17544439,0.889,0.8354,175642611,3721726,0.0207495317198981,0.39016474568347,35964730,0,0,0,0,0,0,0,28840888,0,0,21847492,0,5525208,3.16977216289404e-06
"R14039_H7K5NBBXX","R14039_H7K5NBBXX","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0671514046527105,0.35470686778664,2.20592623881373,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0751560284629313,0.364318736986843,2.19864397248215,"./R14039_H7K5NBBXX_accepted_hits.sorted.bam",FALSE,132898188,123646396,9251792,0.9304,0.8884,176743603,3136971,0.017439187179823,0.233746263186425,21462005,0,0,0,0,0,0,0,38451029,0,0,27627976,0,4276522,4.28664516665614e-06
"R14069_HCTYLBBXX","R14069_HCTYLBBXX","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.140702821760265,1.72596135545029,8.27122396927234,"101","49","41.0","41.0","41.0","39.0",NA,NA,0.140148882556708,1.68790558122878,8.07986136969573,"./R14069_HCTYLBBXX_accepted_hits.sorted.bam",FALSE,132505516,112326645,20178871,0.8477,0.7986,185486360,5809311,0.0303682303401419,0.226913163437878,22203279,0,0,0,0,0,0,0,53481737,0,0,17332808,0,4831409,0.000162093175517004
"R14071_HF3JYBBXX","R14071_HF3JYBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","WARN/FAIL","PASS","PASS","FAIL/WARN","WARN/FAIL","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.171790419887851,1.81176883763036,8.95731434118456,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.174024966887782,1.77895544629729,8.7757787935693,"./R14071_HF3JYBBXX_accepted_hits.sorted.bam",FALSE,139043842,117683061,21360781,0.8464,0.7863,186683231,2786791,0.0147083478989621,0.215303934788801,20918428,0,0,0,0,0,0,0,48787619,0,0,24400949,0,3050671,1.76877535921915e-05
"R14073_HF3JYBBXX","R14073_HF3JYBBXX","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.072090447247922,0.721647317614355,4.73746671125238,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0756337341282977,0.719736742437246,4.68344301741893,"./R14073_HF3JYBBXX_accepted_hits.sorted.bam",FALSE,142156144,128836434,13319710,0.9063,0.8549,160975648,2123901,0.0130221144878825,0.329750338532713,27623541,0,0,0,0,0,0,0,24585790,0,0,27503663,0,4058083,2.02725638975829e-06
"R14077_HCTYLBBXX","R14077_HCTYLBBXX","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","WARN","PASS","PASS","FAIL/WARN","WARN","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.19219913522193,1.91388322822416,9.76956696436275,"101","49","41.0","41.0","39.0","39.0",NA,NA,0.191914706176263,1.84099638907846,9.31854403426194,"./R14077_HCTYLBBXX_accepted_hits.sorted.bam",FALSE,105474460,88180969,17293491,0.836,0.766,130192594,2351731,0.0177429776793537,0.215822176515167,14847197,0,0,0,0,0,0,0,30794692,0,0,20897740,0,2254029,1.93302479922641e-05
"R14091_HFY2MBBXX","R14091_HFY2MBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.120095058168644,1.33516399374934,7.72126063663874,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.121802682262121,1.33285510360042,7.6565077019902,"./R14091_HFY2MBBXX_accepted_hits.sorted.bam",FALSE,140370472,121611661,18758811,0.8664,0.8109,188819964,3513279,0.018266623830598,0.259869683713983,25609938,0,0,0,0,0,0,0,49162826,0,0,19564714,0,4211678,7.91099142840564e-05
"R14102_H7K5NBBXX","R14102_H7K5NBBXX","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.109684731816235,0.337853990675903,1.4041283632785,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.123394552125511,0.3579729861787,1.42146729903245,"./R14102_H7K5NBBXX_accepted_hits.sorted.bam",FALSE,129673472,120783109,8890363,0.9314,0.8908,182752288,2912011,0.0156842807997245,0.268836831436762,25529227,0,0,0,0,0,0,0,44755488,0,0,18167852,0,6509224,1.06936257803654e-05
"R14125_H7JM5BBXX","R14125_H7JM5BBXX","PASS","PASS","WARN/FAIL","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0600960382101219,0.25964018335009,1.30687078321873,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0707815658293009,0.276366385623358,1.31619203314189,"./R14125_H7JM5BBXX_accepted_hits.sorted.bam",FALSE,126807028,118747467,8059561,0.9364,0.9038,187507026,3434089,0.0179850683285263,0.28757848590218,27969558,0,0,0,0,0,0,0,48897805,0,0,13991486,0,6400019,7.93720086674233e-06
"R14129_HCTYLBBXX","R14129_HCTYLBBXX","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","WARN","FAIL/WARN","WARN","PASS","NA","75-101","48","41.0","41.0","41.0","41.0",NA,NA,8.56305541516849e-05,0.000128926901756469,0.00616732418103708,"75-101","48","41.0","41.0","41.0","41.0",NA,NA,5.96527455888142e-05,0.000144321158682615,0.00193197924423127,"./R14129_HCTYLBBXX_accepted_hits.sorted.bam",FALSE,103934864,100784147,3150717,0.9697,0.9551,138748687,2002361,0.014226259970725,0.29825925446411,21171107,0,0,0,0,0,0,0,27336959,0,0,19838658,0,2635506,8.50215343014421e-06
"R14136_H7K5NBBXX","R14136_H7K5NBBXX","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.127106636992587,0.389607921485743,1.61722864787148,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.139810318442266,0.407464824148914,1.62868435252829,"./R14136_H7K5NBBXX_accepted_hits.sorted.bam",FALSE,124601676,115584230,9017446,0.9276,0.8947,204454073,3289227,0.0158331315618843,0.159777378879144,16871723,0,0,0,0,0,0,0,60703928,0,0,25121243,0,2898298,0.000101649369184167
"R14156_H7JHNBBXX","R14156_H7JHNBBXX","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.074818907754361,0.351062035148809,2.06629138342029,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.08457368118659,0.363438579066433,2.05910309761804,"./R14156_H7JHNBBXX_accepted_hits.sorted.bam",FALSE,132048172,122105767,9942405,0.9247,0.8799,154127645,4338834,0.0273801375999526,0.295439771421986,24025312,0,0,0,0,0,0,0,26154861,0,0,26332523,0,4807811,4.62012730573489e-06
"R14184_H7K5NBBXX","R14184_H7K5NBBXX","PASS","FAIL","FAIL","PASS","FAIL/WARN","FAIL/WARN","FAIL","PASS","PASS","WARN","PASS","NA","101","47","41.0","32.0","41.0","39.0",NA,NA,0.0362574725915239,0.121213946245256,0.614618003333485,"101","48","41.0","41.0","34.5","34.5",NA,NA,0.0348216617340717,0.107612724389706,0.414647232804289,"./R14184_H7K5NBBXX_accepted_hits.sorted.bam",FALSE,61567998,41075872,20492126,0.6672,0.5226,52599417,1637142,0.0301852114180031,0.353335796303596,11424136,0,0,0,0,0,0,0,10775174,0,0,8063456,0,2069469,9.19106705312332e-05
"R14202_H7K5NBBXX","R14202_H7K5NBBXX","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.050044258664429,0.178501045616039,0.895256968337155,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0607494937869054,0.195510089216428,0.915397172520506,"./R14202_H7K5NBBXX_accepted_hits.sorted.bam",FALSE,132570652,124906875,7663777,0.9422,0.9083,161434637,2387780,0.0145754167453164,0.344382754254371,28808883,0,0,0,0,0,0,0,27009852,0,0,23164239,0,4670701,2.29096004867665e-06
"R14222_H7JHNBBXX","R14222_H7JHNBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0842487844769396,0.376794173337943,2.15540939781659,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0959597242885704,0.392312054438567,2.15047373571495,"./R14222_H7JHNBBXX_accepted_hits.sorted.bam",FALSE,135463082,125151185,10311897,0.9239,0.879,163564949,2796195,0.016807981315637,0.305751567786624,26115820,0,0,0,0,0,0,0,29000655,0,0,25339448,0,4959240,1.8762573796266e-06
"R14223_HF5JNBBXX","R14223_HF5JNBBXX","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.166428700901055,1.65444235039613,8.73392899860448,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.170902328080942,1.63049843880812,8.54707351745232,"./R14223_HF5JNBBXX_accepted_hits.sorted.bam",FALSE,126921618,107863845,19057773,0.8498,0.7868,171204680,3073947,0.0176381180694062,0.231412531692872,20725572,0,0,0,0,0,0,0,45802093,0,0,19882663,0,3150820,4.68985849944214e-05
"R14225_HF3JYBBXX","R14225_HF3JYBBXX","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.116370795789636,1.11019699579729,5.90866408292995,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.12036017167401,1.10149465431337,5.83081538496915,"./R14225_HF3JYBBXX_accepted_hits.sorted.bam",FALSE,129769672,114596031,15173641,0.8831,0.8266,145500688,2763362,0.0186381122058921,0.383575682557374,29340455,0,0,0,0,0,0,0,24772155,0,0,16902081,0,5477267,1.43147064351933e-06
"R14238_HF5JNBBXX","R14238_HF5JNBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.111291261507428,1.38087943338845,7.59905503330518,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.113793198328672,1.36793512178975,7.47958239180128,"./R14238_HF5JNBBXX_accepted_hits.sorted.bam",FALSE,150243602,130626266,19617336,0.8694,0.813,168344379,3426830,0.0199499672846804,0.407288206024691,36007965,0,0,0,0,0,0,0,30074675,0,0,16383760,0,5942654,4.05465846237076e-06
"R14247_HF3JYBBXX","R14247_HF3JYBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","FAIL","WARN","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.121882054869688,1.43151354539022,7.50945588271361,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.12256187187556,1.40284563800228,7.35135679915058,"./R14247_HF3JYBBXX_accepted_hits.sorted.bam",FALSE,123709762,106878684,16831078,0.8639,0.8042,128235638,1815086,0.0139567542891957,0.340527326218284,22777091,0,0,0,0,0,0,0,16766206,0,0,24477660,0,2866747,2.23909190159534e-06
"R14279_HFY2MBBXX","R14279_HFY2MBBXX","PASS","PASS","WARN/FAIL","PASS","FAIL/WARN","WARN","PASS","WARN","FAIL/WARN","WARN","PASS","NA","75-101","47","41.0","41.0","41.0","41.0",NA,NA,5.54010932039183e-05,9.67672427961774e-05,0.00386182553693447,"75-101","47","41.0","41.0","41.0","41.0",NA,NA,5.46624119611994e-05,0.000110063505165118,0.00156895895953497,"./R14279_HFY2MBBXX_accepted_hits.sorted.bam",FALSE,135376390,132152845,3223545,0.9762,0.9606,175549366,2122094,0.0119439216630516,0.280077256371953,25088067,0,0,0,0,0,0,0,30852536,0,0,30858765,0,2776156,9.12784552113959e-06
"R14290_H7L3FBBXX","R14290_H7L3FBBXX","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL","PASS/FAIL","PASS","FAIL/PASS","WARN/PASS","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0996209566815687,0.499471520809087,2.63955450158999,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0834796992236976,0.382991917449298,1.95042154160376,"./R14290_H7L3FBBXX_accepted_hits.sorted.bam",FALSE,135212514,108455431,26757083,0.8021,0.6563,148995808,3029304,0.0199263395379048,0.290347891582152,25706684,0,0,0,0,0,0,0,35038807,0,0,23318377,0,4473658,1.51711515962152e-05
"R14296_H7JLCBBXX","R14296_H7JLCBBXX","PASS","PASS","WARN/FAIL","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0484631883280931,0.187467728986087,0.958707428510198,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0525687579886398,0.192192470361692,0.955290699648338,"./R14296_H7JLCBBXX_accepted_hits.sorted.bam",FALSE,101910340,97237779,4672561,0.9542,0.9229,120561010,1584367,0.0129711581306921,0.2972027801218,18494696,0,0,0,0,0,0,0,17318027,0,0,24196277,0,2220216,5.13660781447827e-06
"R14304_H7JKMBBXX","R14304_H7JKMBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0762253658441254,0.230755141249884,0.963588252044688,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0871763821188103,0.248343158085425,0.973875360358915,"./R14304_H7JKMBBXX_accepted_hits.sorted.bam",FALSE,144297110,134307352,9989758,0.9308,0.8816,187283475,3345352,0.0175490352254017,0.331479322158735,32554804,0,0,0,0,0,0,0,39308872,0,0,20631937,0,5715050,5.68272504420546e-06
"R14995_HFFGHBBXX","R14995_HFFGHBBXX","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","WARN","WARN","WARN","PASS","NA","75-101","47","41.0","41.0","41.0","41.0",NA,NA,4.26741762292241e-05,6.48647478684206e-05,0.00510041754291686,"75-101","48","41.0","41.0","41.0","41.0",NA,NA,8.10809348355258e-05,0.000163015353195636,0.00188619858933171,"./R14995_HFFGHBBXX_accepted_hits.sorted.bam",FALSE,117166878,114147886,3018992,0.9742,0.9606,148613357,2540766,0.0168091081445393,0.319130262260883,24304731,0,0,0,0,0,0,0,25624209,0,0,22681852,0,3548488,0.000421975458193715
"R15016_HF5JNBBXX","R15016_HF5JNBBXX","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","WARN","FAIL/WARN","WARN","PASS","NA","75-101","49","41.0","41.0","41.0","41.0",NA,NA,8.33800287964444e-05,0.000116732040315022,0.0038465986618093,"75-101","49","41.0","41.0","41.0","41.0",NA,NA,0.00010640879865451,0.000177877394765748,0.00172159907076849,"./R15016_HF5JNBBXX_accepted_hits.sorted.bam",FALSE,125929436,122004160,3925276,0.9688,0.9532,194798372,2779590,0.0140683200285263,0.201979179490042,20115159,0,0,0,0,0,0,0,50229783,0,0,26228356,0,3016962,3.75338817853739e-05
"R15058_HF5JNBBXX","R15058_HF5JNBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","WARN","FAIL","WARN","PASS","NA","75-101","54","41.0","41.0","41.0","41.0",NA,NA,5.23817172056312e-05,8.48945071953333e-05,0.0074598790365261,"75-101","55","41.0","41.0","41.0","41.0",NA,NA,6.86381122004822e-05,0.000149920087174738,0.00224157624317891,"./R15058_HF5JNBBXX_accepted_hits.sorted.bam",FALSE,110725656,106450275,4275381,0.9614,0.9461,256585370,4237422,0.016246363929729,0.0952945195182315,12514449,0,0,0,0,0,0,0,100656568,0,0,16238358,0,1914536,0.000107076228446015
"R15068_HFFGHBBXX","R15068_HFFGHBBXX","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","WARN","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.138389155935352,1.49105963076041,7.61316305916161,"101","50","41.0","41.0","41.0","39.0",NA,NA,0.137910813953206,1.45706026925425,7.44452340795227,"./R15068_HFFGHBBXX_accepted_hits.sorted.bam",FALSE,107872614,92780134,15092480,0.8601,0.7986,129937217,2236204,0.0169187116674539,0.308115422193542,21013286,0,0,0,0,0,0,0,28766178,0,0,12351911,0,6068022,4.04505987307268e-06
"R15090_HF5JNBBXX","R15090_HF5JNBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.157918595899479,1.73862202431255,9.43662091678511,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.159700517107528,1.71936376069466,9.26811423850148,"./R15090_HF5JNBBXX_accepted_hits.sorted.bam",FALSE,119870620,102489992,17380628,0.855,0.7914,151483286,2642744,0.017146642912946,0.248909176094025,19700029,0,0,0,0,0,0,0,35626413,0,0,20705757,0,3113252,5.06090625551871e-05
"R15093_HFY2MBBXX","R15093_HFY2MBBXX","PASS","PASS","WARN","PASS","FAIL/WARN","WARN","PASS","PASS","FAIL","FAIL","WARN","NA","101","45","41.0","41.0","41.0","41.0",NA,NA,1.22886063451567,2.0363137433237,5.28201184472825,"101","46","41.0","41.0","41.0","41.0",NA,NA,1.23493520837529,2.03732382273201,5.25165589232184,"./R15093_HFY2MBBXX_accepted_hits.sorted.bam",FALSE,141870034,123395884,18474150,0.8698,0.8271,151106303,4022581,0.0259305739606816,0.373461286337134,29720302,0,0,0,0,0,0,0,22349534,0,0,24290093,0,3220748,1.04305804160402e-06
